,0
0,-8.07470132705231
1,-8.553662916055304
2,-11.351587891584447
3,-6.075657706098385
4,-5.974951296469988
5,-6.786025507201082
6,-12.507440319464383
7,-9.848968434692988
8,-6.697629089549033
9,-4.818145966253681
10,-4.967244435890683
11,-6.580579627451117
12,-4.326273404358883
13,-10.954070590089119
14,-1.462385814042218
15,-3.4102069522576857
16,-4.864593081686191
17,-3.7760083892901704
18,-2.151412345281237
19,-7.043775878141848
20,-10.486686128346786
21,-11.268798175522022
22,-4.710926589573601
23,-9.646399082600222
24,-5.75182225395119
25,-5.3675751317819795
26,-4.605485289585668
27,-3.3040291774303707
28,-4.905631003778964
29,-5.916087793563442
30,-8.61627386713876
31,-2.199794016496921
32,-5.1322806312813825
33,-8.796298768626372
34,-7.061686049758875
35,-11.290812509454167
36,-4.158352909682927
37,-10.94684935095206
38,-3.8269236823554027
39,-3.1449763572231557
40,-9.25061749202702
41,-8.656980352373463
42,-6.1724965061415435
43,-7.215550304356346
44,-1.8413917630737178
45,-4.335005248021384
46,-7.612253773427444
47,-3.9502749621844786
48,-4.855453415259146
49,-10.96280366500391
50,-7.190463512145749
51,-8.52442766169684
52,-6.268487140259604
53,-4.149578320144485
54,-11.340792820738681
55,-8.114743855962578
56,-4.244067592361938
57,-5.315210682968712
58,-9.5661343831959
59,-6.18674693269157
60,-5.410653351529472
61,-6.053794912455423
62,-2.0010221427887753
63,-6.144803441305106
64,-11.498817896616615
65,-6.800664623129954
66,-8.547649092634728
67,-5.0713091602030955
68,-6.839418795455523
69,-9.074179179340407
70,-10.620120374104713
71,-5.292205420069024
72,-9.615255517664766
73,-4.195170902444426
74,-1.492382852645508
75,1.354770940246473
76,-6.712408972072034
77,-7.748200817758907
78,-3.800205851189836
79,-10.685346538456383
80,-7.037339932629788
81,-5.800265696869951
82,-10.012469756389645
83,-11.807810456589188
84,-3.991858297614046
85,-5.729995682701983
86,-9.991339978036786
87,-8.852512728086346
88,-6.487391518356306
89,-4.709380974310719
90,-8.934585391562553
91,-5.579100715362477
92,-4.575014620812627
93,-5.710069592061458
94,-3.427697091970119
95,-8.497461587572838
96,-8.235621606275702
97,-7.331299616277122
98,-6.607212100808171
99,-7.419845768423554
100,-2.526701932581844
101,-3.9838600745734642
102,-4.7036776265289735
103,-7.48284761062789
104,-7.273114729748189
105,-5.873441504059153
106,-12.2927564627383
107,-11.688001179340311
108,-7.552470175396957
109,-7.8103583924429465
110,-1.8774851621059678
111,-1.9693319208731586
112,-11.425814647084973
113,-2.8928936667493605
114,-7.013356043041878
115,-5.968765407423513
116,-4.883951550946058
117,-8.932371028639901
118,-11.326011176320483
119,-8.7212387433148
120,-7.517768535512883
121,-10.66797908645335
122,-8.283367621912474
123,-13.139522152713791
124,-12.346658360957584
125,-4.7586974897016585
126,-3.3984307792454773
127,-5.360143659011282
128,-6.3916073165267715
129,-8.135698143133235
130,-3.0160847501189685
131,-2.7785756383547584
132,-5.009694708600549
133,-3.3691224047202004
134,-7.251997264740776
135,-1.8828669889619416
136,-4.369879665674847
137,-5.48553348413664
138,-7.020444711142274
139,-11.284283777716567
140,-9.865840083356227
141,-5.337764757030856
142,-3.0667943484207205
143,-2.4272039008698467
144,-9.041742180043606
145,-6.333428307168187
146,-1.4402380919197526
147,-6.0144339780243214
148,-8.895320124639131
149,-7.866535038420893
150,-8.262807688254938
151,-7.0626758861748815
152,-5.603098905055949
153,-4.798548497598801
154,-6.538103929986384
155,-9.01268983094747
156,-12.757078052330115
157,-11.115672665694156
158,-4.985291418446748
159,-2.710923002353775
160,-5.784505216662584
161,-3.0579641695882955
162,-8.643892299893897
163,-11.486819244411056
164,-10.263811194845886
165,-8.833896119147104
166,-12.460308563476138
167,-5.889624928682641
168,-5.045254738196478
169,-7.656273402534993
170,-3.2335411687100177
171,-6.059590894504782
172,-7.386900604717198
173,-6.205115497747427
174,-9.1647784595872
175,-6.299331630586615
176,-9.551994644651506
177,-4.51680490031308
178,-11.011255038193985
179,-1.5883126347629668
180,-7.170719767834981
181,-10.140000643444157
182,-5.002351505697244
183,-3.3310180327939114
184,-7.6454581751467705
185,-5.1720879103532
186,-8.125925688678848
187,-8.37821244264225
188,-2.1358020513586338
189,-7.383386769079881
190,-7.30195870346772
191,-4.335306256849753
192,-5.408755946535248
193,-9.72412166191118
194,-8.1255829403518
195,-6.790804382892489
196,-4.927792723273228
197,-4.395273335480102
198,-5.174323165759122
199,-9.133688420528664
200,-8.91792366949204
201,-6.97530908595558
202,-11.690722941825918
203,-8.040245551336332
204,-1.7306688457706985
205,-4.979390081257302
206,-9.252558604656848
207,-7.4727518622667795
208,-15.035814781039566
209,-1.689561401570458
210,-10.477291701263056
211,-6.543576933018506
212,-10.65229415938758
213,-8.395808673652564
214,-7.480449233929748
215,-4.851302731379178
216,-4.545114816362078
217,-5.365478534464814
218,-5.8576589262312755
219,-5.574038587745101
220,-9.889812752669528
221,-16.358209122217115
222,-6.022367971341621
223,-11.608979625487986
224,-7.6375034082343864
225,-3.865267886474511
226,-5.303360231831482
227,-9.036777657762672
228,-6.284582103280371
229,-3.930386443551778
230,-5.442548801467237
231,-4.692714251685876
232,-5.991966846890324
233,-8.249176663455957
234,-13.770322839720844
235,-11.574362930642476
236,-1.9649246927289896
237,-1.31902799978681
238,-6.725535439126669
239,-3.7726197472618064
240,-4.704457871145483
241,-5.101916563346126
242,-9.835602738652794
243,-6.836538772214176
244,-3.2449410716949614
245,-4.403687343037164
246,-4.611813395424267
247,-6.875012245199572
248,-12.3724017703688
249,-10.969503971327706
250,-5.2537981513507175
251,-2.0742310980847813
252,-14.402979828854445
253,-10.826415252205596
254,-2.1414069036246506
255,-3.8188429375453627
256,-9.126212364546008
257,-11.5776513033797
258,-9.515941371706456
259,-6.832530296081186
260,-4.444471548518902
261,-4.650673430594233
262,3.3498787559352188
263,-0.1987041269380443
264,-4.170543614325306
265,-8.492991350311467
266,-8.841876818939399
267,-13.796031876208163
268,-6.062201044865106
269,-5.609302399924315
270,-8.326264495641114
271,-13.300236892656983
272,-10.095166203849669
273,-10.059717840643916
274,-5.203558895446729
275,-3.602785503890564
276,-6.487056323744266
277,-8.566268577342987
278,-6.5172962312657035
279,-7.852061684489065
280,-8.447182634547366
281,-6.153494695506757
282,-9.052246736322735
283,-13.34016540505137
284,-9.262360597933041
285,-16.024591097149646
286,-7.617409678407819
287,-5.579419093211266
288,-6.664887396280439
289,-8.821981808636462
290,-5.595457616247483
291,-7.303262950263568
292,-6.912241419877066
293,-3.9691334233621114
294,-6.744419566018945
295,-9.144728814105825
296,-9.912375933160925
297,-8.847859166561205
298,-10.24118016075537
299,-8.060081872510471
300,-3.8364233399289884
301,-5.776947386044856
302,-10.034345346665116
303,-7.9199607243449925
304,-7.147916569375934
305,-6.741482591356096
306,-9.355751871365685
307,-11.40501527490117
308,-8.097275666578012
309,-8.797691560443251
310,-8.327207004989866
311,-4.520932337345064
312,-10.592886409509196
313,-7.774806365509259
314,-10.490351986457672
315,-10.417592544733536
316,-8.266880181568572
317,-9.341675754207516
318,-7.632249169682293
319,-8.08307793451635
320,-8.287469408085757
