,0,1
0,-0.6864546502680675,-0.7271726157696983
1,-0.8816593395010975,-0.47188643662483915
2,-0.6608303749364978,-0.7505352860201098
3,-0.7856558798115946,-0.6186637523869241
4,-0.811772610878459,-0.5839736537101399
5,-0.602466346292534,-0.7981442861944977
6,-0.36733535574392895,-0.9300885637510448
7,-0.3941170435892836,-0.9190602569758104
8,-0.789947098060464,-0.6131750013379962
9,-0.2921126670735884,-0.9563839133607147
10,-0.6812461321946021,-0.7320544429001813
11,-0.438827362047296,-0.8985713918874846
12,-0.7311055010203648,-0.6822644255549027
13,-0.8125303891940563,-0.5829188336605323
14,-0.6383055681006462,-0.7697830874549734
15,-0.9689205594605984,-0.24737208705624214
16,-0.5039520776700103,-0.863731615382973
17,-0.5302650266258845,-0.8478319418006437
18,-0.35510956893190926,-0.9348246862663574
19,-0.7725844499614326,-0.6349120156980733
20,-0.730146304378646,-0.6832908415910501
21,-0.6500467005359536,-0.7598942604878132
22,-0.3909634100552383,-0.9204062211860476
23,-0.8876029392301973,-0.4606094031496912
24,-0.40496084814348915,-0.91433402620208
25,-0.6447650042094606,-0.764380853597717
26,-0.833851706947219,-0.5519885241752851
27,-0.8132523317071738,-0.5819112002469491
28,-0.623968549828948,-0.7814494537872297
29,-0.8396944336987939,-0.5430591662197239
30,-0.6663911862443944,-0.745602298075716
31,-0.30964039705521373,-0.9508537345520022
32,-0.8607327557830455,-0.5090570922029514
33,-0.8600250776318475,-0.5102517671153475
34,-0.6019011428495258,-0.7985706069199109
35,-0.8950282769720163,-0.4460093983544561
36,-0.9165595374695524,-0.39989825490191905
37,-0.7404191399273635,0.672145443508489
38,-0.6547802077018918,-0.7558193432308195
39,-0.3350857172512429,-0.9421876469654121
40,-0.7716713865325262,-0.636021439266766
41,-0.6467416213477802,-0.7627091681738488
42,-0.5716215708646138,-0.820517385386971
43,-0.7484751293430583,-0.6631628614110505
44,-0.8092533051461825,-0.5874598608500667
45,-0.8482122204202892,-0.5296565199539063
46,-0.625274808693129,-0.7804046473553135
47,-0.3740904901437573,-0.9273922067733821
48,-0.7469251312803931,-0.6649081502446542
49,-0.6650266875549199,-0.7468195932350268
50,-0.5355951850068607,-0.8444748651069887
51,-0.5321856089907078,-0.8466277089625578
52,-0.7779933243340409,-0.6282725422073352
53,-0.7247084435761286,-0.6890556376733776
54,-0.6951389952235519,-0.7188753558994708
55,-0.6900272190931761,-0.7237834185103565
56,-0.9694106745574148,-0.24544438077523406
57,-0.7615419753902098,-0.6481155913251716
58,-0.4797413497182435,-0.8774099596941661
59,-0.7923222442430542,-0.6101028284458695
60,-0.5760401882006297,-0.8174213733306606
61,-0.5332896743544734,-0.8459326942652706
62,-0.9330925984236109,-0.3596362089210067
63,-0.5354650802107668,-0.8445573680188203
64,-0.6177781082615572,-0.7863524711939117
65,-0.7354718472174918,-0.6775552833167862
66,-0.8298015649481688,-0.5580585657523501
67,-0.9679086612788481,-0.2513022551060535
68,-0.6230811854671937,-0.7821571685516898
69,-0.5282537489343824,-0.8490865543257475
70,-0.8795245295357191,-0.47585355094290493
71,-0.7841298030139568,-0.6205968514464872
72,-0.8190527672422399,-0.5737181925587068
73,-0.23287969333991224,-0.9725055518761363
74,-0.7490969374695642,-0.6624603975134815
75,-0.7601527857790046,-0.6497443668647068
76,-0.7595316704960466,-0.6504703233149725
77,-0.587197359612016,-0.809443797224166
78,-0.753944910658983,-0.6569376467302039
79,-0.8785116988987353,-0.47772083364456475
80,-0.8840671571449602,-0.4673598845190164
81,-0.6012803991447984,-0.7990380977176694
82,-0.7579289179930458,-0.6523371484668727
83,-0.9040919673147981,-0.42733793961788386
84,-0.5502429949601768,-0.8350045787283175
85,-0.470787651047209,-0.8822465571604411
86,-0.7656987902981561,-0.643199317891383
87,-0.8241029382509902,-0.5664400649372224
88,-0.9040241179746284,-0.4274814547090846
89,-0.989756343015185,-0.14276687802570834
90,-0.577385512291236,-0.8164716591506327
91,-0.8323483709056826,-0.5542528208774913
92,-0.8282753524073718,-0.5603212833673589
93,-0.6962164164565078,-0.717831945135112
94,-0.27787870896260247,-0.9606161684592225
95,-0.8598667224600439,-0.5105185790995481
96,-0.4860869272708998,-0.8739104640272565
97,-0.7673155773873304,-0.6412696817242709
98,-0.7462792630674783,-0.6656329780858679
99,-0.49290919629164714,-0.8700807572927483
100,-0.7876736798464662,-0.6160926667938247
101,-0.8239473663281621,-0.5666663370281364
102,-0.3283018235935913,-0.94457287311521
103,-0.7779604369135132,-0.6283132646994933
104,-0.9937457559755809,-0.11166634443968007
105,-0.84817036691406,-0.5297235398666638
106,-0.7853808370950693,-0.6190128760565875
107,-0.8390063749198267,-0.5441215882906055
108,-0.6463643486152074,-0.763028917433172
109,-0.7244271745557519,-0.689351339133515
110,-0.5173734673952556,-0.8557597181659173
111,-0.460491736564501,-0.8876639907959599
112,-0.8922429450064115,-0.45155567440381655
113,-0.5061412719713652,-0.8624505857190942
114,-0.8478453137230473,-0.5302436458816527
115,-0.7573506490590738,-0.6530084182993354
116,-0.5876946817518975,-0.809082789979206
117,-0.7655051924827493,-0.6434297166606069
118,-0.8302756039144286,-0.5573530492825268
119,-0.8721564091383486,-0.4892271435630913
120,-0.6778907181083914,-0.7351626856026421
121,-0.8211250768053765,-0.5707482879881153
122,-0.5932131159791195,-0.8050454639524054
123,-0.5570789316148245,-0.8304595498583213
124,-0.7482551618815557,-0.6634110435601798
125,-0.9301332469717182,-0.36722219823677404
126,-0.7993553816762429,-0.600858530592042
127,-0.4890996759904317,-0.8722278985139461
128,-0.6190574699506803,-0.7853456875149074
129,-0.812300585276489,-0.5832390240368639
130,-0.6908979693752767,-0.722952277756367
131,0.9982453867616752,-0.059212733504151
132,-0.4407802356292927,-0.8976150532820766
133,-0.539591139018564,-0.8419271956010499
134,-0.733992817513271,-0.6791572305725163
135,-0.5306228031024731,-0.8476080702940918
136,-0.7083493433573741,-0.705862031678413
137,-0.8221684064255377,-0.5692443337229557
